Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-01-15 18:32:31,false,"Mölndal Löpning","6.58","486","00:41:40","139","158","2.6","150","180","6:20","4:04","205","175","1.06","9.3","9.6","297","5:54","326","0.0","291","567","--","--","--","6,346","-10","Nej","00:41:40","1","--","--","--","00:41:13","00:41:40","-13","97"
Löpning,2026-01-13 18:01:45,false,"Mölndal Löpning","12.32","1,025","01:28:31","148","186","3.9","117","182","7:11","2:45","434","475","1.15","8.8","9.8","283","6:28","334","0.0","241","615","--","--","--","10,970","-15","Nej","00:01:31.5","11","--","--","--","01:09:52","01:28:31","-29","115"
Löpning,2026-01-12 17:05:07,false,"Mölndal Löpning","10.37","771","01:06:19","142","159","3.0","148","185","6:24","4:17","368","351","1.06","9.1","9.6","287","5:44","354","0.0","282","782","--","--","--","10,082","-10","Nej","01:06:19","1","--","--","--","01:01:49","01:06:19","-28","130"
Löpning,2026-01-10 17:52:38,false,"Norrköping Löpning","8.51","583","00:45:27","135","159","2.8","161","181","5:20","4:10","172","94","1.17","8.7","10.1","279","5:04","364","0.0","333","717","--","--","--","7,324","-8","Nej","00:45:27","1","--","--","--","00:45:26","00:45:27","7","139"
Terränglöpning,2026-01-06 10:06:23,false,"Norrköping Terränglöpning","5.27","739","01:39:09","126","158","2.3","62","231","18:49","4:59","388","339","0.71","10.4","6.6","312","16:14","194","0.0","83","521","--","--","--","7,002","-16","Nej","00:00:00.3","26","--","--","--","01:00:25","01:39:09","54","134"
Löpning,2026-01-05 17:03:32,false,"Norrköping - 8*5 min","16.82","1,134","01:25:33","152","182","4.1","149","198","5:05","3:14","258","223","1.32","7.8","10.0","254","4:58","386","0.0","328","642","--","--","--","12,926","-17","Nej","00:00:08.0","12","--","--","--","01:19:11","01:25:33","-44","58"
Löpning,2026-01-04 10:41:02,false,"Norrköping Löpning","11.87","915","01:25:21","136","160","2.9","146","250","7:12","4:20","306","278","0.95","9.6","8.9","296","6:49","282","0.0","243","545","--","--","--","12,650","-20","Nej","01:25:21","1","--","--","--","01:20:14","01:25:21","47","130"
Löpning,2026-01-03 17:10:30,false,"Norrköping Löpning","14.12","964","01:20:24","139","156","3.1","163","186","5:42","4:23","228","222","1.08","8.9","9.6","279","5:35","334","0.0","299","926","--","--","--","13,072","-18","Nej","01:20:24","1","--","--","--","01:19:57","01:20:24","14","109"
Multisport,2026-01-02 16:37:36,false,"Norrköping Multisport","13.28","1,015","01:36:34","--","184","3.3","--","--","8.3","--","270","213","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","Nej","--:--:--","4","--","--","--","--:--:--","01:36:34","-21","124"
Löpning,2026-01-01 15:09:46,false,"Mölndal Löpning","8.30","672","01:03:20","135","160","2.6","129","194","7:38","3:39","329","298","1.00","9.6","9.0","315","6:40","288","0.0","237","565","--","--","--","8,770","-12","Nej","01:03:20","1","--","--","--","01:00:21","01:03:20","-21","116"
Löpning,2025-12-31 14:41:41,false,"Mölndal Löpning","8.52","657","00:54:05","144","160","2.8","153","183","6:21","3:55","344","324","1.03","9.4","9.4","296","5:41","323","0.0","290","521","--","--","--","8,474","-10","Nej","00:54:05","1","--","--","--","00:53:54","00:54:05","5","116"
Löpning,2025-12-30 16:04:03,false,"Mölndal Löpning","12.50","930","01:27:31","137","155","2.9","149","247","7:00","3:53","503","491","0.97","9.8","9.2","310","6:20","292","0.0","264","484","--","--","--","13,440","-15","Nej","01:27:31","1","--","--","--","01:26:59","01:27:31","4","101"
Löpning,2025-12-29 19:30:10,false,"Norrköping Löpning","3.04","204","00:14:16","151","169","2.4","166","186","4:42","3:56","87","25","1.28","7.9","10.1","260","4:24","409","0.0","385","568","--","--","--","2,376","-2","Nej","00:14:16","1","--","--","--","00:14:15","00:14:16","-28","58"
Löpband,2025-12-29 18:12:11,false,"Löpband","10.16","818","01:16:39","147","183","4.0","108","240","7:33","3:28","--","--","1.36","7.4","9.9","247","--","303","0.0","198","448","--","--","--","7,708","-10","Nej","00:00:37.7","61","--","--","--","00:45:21","01:16:39","--","--"
Löpning,2025-12-29 17:40:52,false,"Norrköping Löpning","3.09","212","00:15:48","145","159","2.4","155","192","5:07","3:43","113","33","1.26","7.9","9.9","259","4:38","427","0.0","379","628","--","--","--","2,456","-4","Nej","00:01:33.0","2","--","--","--","00:15:00","00:15:48","7","107"
Löpband,2025-12-27 11:00:11,false,"Löpband","10.00","832","01:05:02","156","190","4.0","122","240","6:30","1:58","--","--","1.44","7.1","9.3","240","--","319","0.0","218","671","--","--","--","7,418","-17","Nej","00:00:53.2","26","--","--","--","00:44:16","01:05:02","--","--"
Löpning,2025-12-26 10:33:59,false,"Norrköping Löpning","18.44","1,526","02:36:43","141","181","3.4","116","250","8:30","4:21","654","615","0.94","9.6","8.7","321","7:45","263","0.0","194","490","--","--","--","20,760","-32","Nej","02:36:43","1","--","--","--","02:22:32","02:36:44","51","158"
Löpning,2025-12-25 18:51:06,false,"Norrköping Löpning","10.53","696","00:49:48","153","175","3.4","157","181","4:44","3:31","130","89","1.36","8.0","10.7","264","4:37","390","0.0","368","531","--","--","--","7,876","-12","Nej","00:49:48","1","--","--","--","00:48:49","00:49:48","-26","49"
Löpning,2025-12-24 10:51:53,false,"Norrköping Löpning","10.29","862","01:29:54","131","164","2.8","107","228","8:44","3:12","311","278","0.97","9.5","8.9","312","8:07","254","0.0","183","557","--","--","--","10,894","-18","Nej","01:29:54","1","--","--","--","01:14:14","01:29:54","16","63"
Löpning,2025-12-23 18:13:42,false,"Norrköping Löpning","10.07","693","01:06:20","130","163","2.5","145","231","6:35","1:46","251","257","0.99","9.7","9.5","306","6:14","283","0.0","253","480","--","--","--","9,742","-12","Nej","01:06:20","1","--","--","--","01:04:41","01:06:20","19","86"
Löpning,2025-12-22 18:10:15,false,"Norrköping Löpning","11.22","709","00:51:45","154","183","3.7","141","197","4:37","2:42","160","133","1.53","6.8","9.9","226","4:29","421","0.0","341","647","--","--","--","7,618","-10","Nej","00:00:58.9","21","--","--","--","00:46:39","00:51:45","-11","54"
Löpning,2025-12-21 10:37:37,false,"Norrköping Löpning","13.87","1,111","01:46:57","142","166","3.2","127","250","7:43","3:27","369","334","0.97","9.6","9.0","312","7:24","263","0.0","211","481","--","--","--","14,768","-23","Nej","01:46:57","1","17","17","17","01:37:40","01:46:57","60","148"
Löpning,2025-12-20 11:46:57,false,"Nyköping Löpning","4.06","447","00:40:05","142","172","2.7","105","243","9:52","5:05","197","169","0.86","10.1","8.4","353","8:49","233","0.0","171","501","--","--","--","4,986","-9","Nej","00:40:05","1","--","--","--","00:35:24","00:40:05","53","105"
Löpning,2025-12-18 18:49:42,false,"Norrköping Löpning","9.22","737","01:19:47","130","158","2.5","107","237","8:39","3:26","316","295","0.99","9.4","8.8","318","7:55","254","0.0","181","477","--","--","--","10,036","-12","Nej","01:19:47","1","--","--","--","01:11:32","01:19:47","9","100"
Löpning,2025-12-17 18:23:25,false,"Norrköping Löpning","7.74","716","00:46:43","175","186","4.2","134","198","6:02","2:42","220","208","1.15","9.0","10.0","300","5:41","321","0.0","267","625","--","--","--","6,912","-12","Nej","00:46:43","1","--","--","--","00:45:41","00:46:43","9","63"
Löpning,2025-12-15 17:27:33,false,"Göteborg Löpning","12.18","800","01:06:28","138","157","3.1","160","237","5:27","4:08","234","187","1.15","8.5","9.7","271","5:14","338","0.0","317","538","--","--","--","10,780","-16","Nej","01:06:28","1","--","--","--","01:04:45","01:06:28","-18","53"
Löpning,2025-12-14 11:08:39,false,"Mölndal Löpning","9.96","775","01:11:29","142","157","3.0","144","200","7:10","2:46","384","396","0.95","9.8","9.0","308","6:37","285","0.0","244","542","--","--","--","10,848","-19","Nej","01:11:29","1","--","--","--","01:10:02","01:11:29","8","115"
Löpning,2025-12-13 18:56:02,false,"Mölndal Löpning","9.72","739","00:53:01","160","184","4.0","152","193","5:27","3:35","378","348","1.17","8.7","9.9","279","4:54","360","0.0","324","567","--","--","--","8,264","-13","Nej","00:01:29.9","8","--","--","--","00:51:30","00:53:01","16","150"
Löpning,2025-12-12 16:39:36,false,"Mölndal Löpning","12.52","975","01:26:45","143","163","3.1","145","250","6:56","3:57","484","474","0.98","9.7","9.3","309","6:14","294","0.0","258","545","--","--","--","13,314","--","Nej","01:26:45","1","--","--","--","01:25:56","01:26:45","12","123"
