Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-06-25 10:21:41,false,"Göteborg Löpning","6.15","640","00:46:38","171","196","3.6","163","188","7:35","5:33","90","76","0.81","7.5","6.2","316","48.3% vänster/51.7% höger","0.0","7,514","Nej","00:01:11.3","7","00:46:25","00:46:38","6","70"
Löpning,2025-06-25 10:01:40,false,"Göteborg Löpning","0.95","91","00:06:20.9","161","185","2.1","170","188","6:43","5:27","--","45","0.88","7.3","6.5","276","47.4% vänster/52.6% höger","0.0","1,056","Nej","00:06:20.9","1","00:06:15","00:06:20.9","51","99"
Löpning,2025-06-23 14:44:33,false,"Göteborg Löpning","6.00","605","00:44:18","167","188","3.5","166","180","7:23","5:19","83","86","0.82","7.8","6.6","294","48.7% vänster/51.3% höger","0.0","7,276","Nej","00:07:07.0","6","00:44:17","00:44:18","43","100"
Löpning,2025-06-19 10:41:44,false,"Göteborg Löpning","7.40","766","00:55:39","170","199","3.9","164","206","7:31","6:07","84","98","0.82","7.9","6.6","299","49.1% vänster/50.9% höger","0.0","9,000","Nej","00:03:35.8","8","00:55:31","00:56:37","5","99"
Löpning,2025-06-14 22:28:30,false,"Göteborg Löpning","5.00","497","00:39:13","162","188","3.1","162","174","7:50","2:15","79","80","0.78","7.9","6.4","313","49.4% vänster/50.6% höger","0.0","6,316","Nej","00:07:17.3","5","00:39:12","00:39:13","22","99"
Löpning,2025-06-10 19:46:35,false,"Göteborg Löpning","4.01","411","00:28:11","170","190","3.5","163","173","7:02","5:35","65","71","0.87","8.3","7.4","288","49.1% vänster/50.9% höger","0.0","4,550","Nej","00:00:02.6","5","00:28:01","00:28:11","47","98"
Löpning,2025-01-05 17:32:58,false,"Göteborg Löpning","4.40","468","00:33:20","168","190","3.4","171","186","7:35","5:38","55","64","0.77","7.6","6.0","292","48.4% vänster/51.6% höger","0.0","5,634","Nej","00:03:03.6","5","00:33:12","00:33:36","50","99"
Löpning,2024-12-31 12:01:46,false,"Sylvester Loppet - Off 59:16","10.28","1,027","00:59:25","195","209","5.0","171","184","5:47","4:54","75","74","1.00","7.8","8.0","266","48.4% vänster/51.6% höger","0.0","10,072","Nej","00:01:24.8","11","00:59:22","00:59:25","4","26"
Löpning,2024-12-29 16:50:36,false,"Göteborg Löpning","4.00","440","00:31:32","169","193","3.3","160","186","7:53","4:54","150","152","0.78","9.0","7.1","296","49.1% vänster/50.9% höger","0.0","4,992","Nej","00:03:09.1","5","00:31:31","00:31:41","50","156"
Löpning,2024-07-27 12:00:39,false,"Falkenberg Löpning","10.03","901","00:52:59","177","194","4.6","173","188","5:17","4:44","47","48","1.08","7.4","8.2","258","48.1% vänster/51.9% höger","0.0","9,072","Nej","00:00:08.7","11","00:52:57","00:52:59","-1","21"
