Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;2025-11-01 14:48;FALSE;Kungsbacka Running;15.01;1,102;01:16:45;155;176;4.0;163;181;05:07;04:24;115;110;1.20;8.2;9.8;267;05:06;--;--;377;--;0.0;--;369;502;--;12,496;-15;No;00:00:03.8;16;--;--;--;01:16:32;01:17:24;5;38
Virtual Cycling;2025-10-31 15:24;FALSE;Zwift - Sweet Spot on Lutscher in Innsbruck;18.53;510;00:55:28;139;164;3.0;--;--;20.0;83.6;477;--;--;--;--;--;--;88;114;180;--;0.0;198;160;325;--;--;--;No;00:00:09;22;--;--;--;00:55:19;00:57:28;280;696
Running;2025-10-28 10:44;FALSE;Kungsbacka Running;10.01;703;00:50:19;149;172;3.5;164;174;05:02;04:31;68;67;1.21;8.1;9.9;266;05:00;--;--;363;--;0.0;--;357;496;--;8,226;-13;No;00:00:02.5;11;--;--;--;00:50:15;00:52:49;4;36
Running;2025-10-25 08:20;FALSE;Kungsbacka Running;10.01;683;00:50:11;145;163;3.3;164;176;05:01;04:32;83;77;1.22;8.1;9.9;266;04:59;--;--;365;--;0.0;--;360;529;--;8,204;--;No;00:00:02.4;11;--;--;--;00:50:07;00:50:11;9;36
Virtual Cycling;2025-10-24 13:21;FALSE;Zwift - AC Maintenance #1 on Roule Ma Poule in France;26.32;568;00:58:28;142;165;3.0;--;--;27.0;59.8;263;--;--;--;--;--;--;86;116;189;--;0.0;188;169;364;--;--;--;No;00:00:44;20;--;--;--;00:58:27;00:58:27;10;121
Running;2025-10-23 08:11;FALSE;Paris Running;10.01;705;00:44:53;166;184;4.5;164;200;04:29;03:08;85;95;1.36;7.5;10.2;250;04:27;--;--;416;--;0.0;--;410;634;--;7,44;--;No;00:00:02.3;11;--;--;--;00:44:35;00:49:34;43;88
Running;2025-10-20 09:47;FALSE;Paris Running;10.01;665;00:45:42;155;185;3.8;163;212;04:34;03:16;60;59;1.34;7.7;10.2;254;04:33;--;--;414;--;0.0;--;410;665;--;7,45;-17;No;00:00:02.6;11;--;--;--;00:45:29;01:02:36;42;80
Running;2025-10-16 12:34;FALSE;Kungsbacka - VO2 Max;8.68;626;00:42:02;163;189;4.2;165;186;04:50;03:28;65;63;1.25;8.1;9.9;262;04:48;--;--;406;--;0.0;--;383;592;--;6,868;-15;No;00:00:00.6;16;--;--;--;00:41:57;00:42:33;8;34
Running;2025-10-13 19:29;FALSE;Kungsbacka Running;10.01;689;00:52:23;145;163;3.3;163;174;05:14;04:33;59;62;1.17;8.3;9.7;270;05:13;--;--;349;--;0.0;--;345;487;--;8,526;-12;No;00:00:03.4;11;--;--;--;00:52:20;00:52:44;9;37
Running;2025-10-08 19:27;FALSE;Kungsbacka Running;10.00;717;00:53:14;149;163;3.4;161;176;05:19;04:19;71;69;1.17;8.5;9.9;277;05:17;--;--;354;--;0.0;--;349;496;--;8,526;-10;No;00:00:01.2;11;--;--;--;00:53:12;00:53:14;8;36
Virtual Cycling;2025-10-06 21:31;FALSE;Zwift - INEOS Grenadiers Virtual Training Camp | The Ganna on The Highline in New York;19.27;441;00:45:15;145;179;3.1;--;--;25.5;71.2;338;--;--;--;--;--;--;85;114;202;--;0.0;192;170;377;--;--;--;No;00:00:04;18;--;--;--;00:45:10;00:45:14;36;133
Virtual Cycling;2025-10-05 13:24;FALSE;Zwift - Threshold #6 on 2018 Worlds Short Lap in Innsbruck;23.94;605;01:02:47;141;171;3.2;--;--;22.9;84.0;495;--;--;--;--;--;--;85;133;193;--;0.0;195;168;436;--;--;--;No;00:00:10;35;--;--;--;01:02:29;01:05:21;279;696
Running;2025-10-04 18:40;FALSE;Kungsbacka Running;10.00;683;00:44:13;168;182;4.8;166;176;04:25;03:51;75;71;1.37;7.6;10.4;252;04:24;--;--;419;--;0.0;--;414;566;--;7,292;-9;No;00:00:01.5;11;--;--;--;00:44:11;00:44:13;5;38
Running;2025-10-01 12:31;FALSE;Kungsbacka Running;10.01;710;00:48:36;160;180;4.3;163;174;04:51;04:05;75;68;1.26;8.1;10.1;264;04:50;--;--;376;--;0.0;--;369;509;--;7,886;-13;No;00:00:01.2;11;--;--;--;00:48:34;00:50:03;5;35
Running;2025-09-24 12:45;FALSE;Kungsbacka Running;15.01;1,082;01:21:26;150;172;3.7;160;190;05:26;04:00;97;95;1.15;8.6;9.9;279;05:25;--;--;338;--;0.0;--;334;483;--;13,01;-21;No;00:00:02.7;16;--;--;--;01:21:20;01:22:30;4;38
Virtual Cycling;2025-09-23 20:27;FALSE;Zwift - Power Intervals #1 on Knickerbocker in New York;24.85;513;00:57:29;141;184;3.2;--;--;25.9;73.0;391;--;--;--;--;--;--;74;118;206;--;0.0;185;156;440;--;--;--;No;00:00:30;31;--;--;--;00:57:21;00:57:52;4;133
Running;2025-09-18 13:03;FALSE;Kungsbacka Running;15.00;1,058;01:20:48;146;167;3.6;160;176;05:23;04:36;90;82;1.16;8.5;9.9;278;05:22;--;--;339;--;0.0;--;336;492;--;12,922;-20;No;00:00:01.1;16;--;--;--;01:20:46;01:20:48;4;34
Virtual Cycling;2025-09-16 20:25;FALSE;Zwift - FTP Test [Standard] on Knickerbocker in New York;19.76;460;00:45:17;146;182;3.4;--;--;26.2;71.8;341;--;--;--;--;--;--;80;112;208;--;0.0;236;177;421;--;--;--;No;00:00:14;11;--;--;--;00:45:08;00:45:17;4;133
Running;2025-09-14 17:30;FALSE;Kungsbacka Running;10.01;705;00:50:48;151;173;3.6;162;172;05:05;04:16;64;66;1.21;8.2;9.9;268;05:05;--;--;364;--;0.0;--;359;501;--;8,234;-6;No;00:00:01.6;11;--;--;--;00:50:43;00:51:44;5;37
Running;2025-09-11 12:21;FALSE;Kungsbacka Running;8.00;546;00:43:00;137;159;2.9;164;175;05:22;04:47;58;57;1.14;8.4;9.6;271;05:20;--;--;349;--;0.0;--;344;460;--;7,03;-11;No;00:00:01.6;9;--;--;--;00:42:58;00:43:00;6;34
Running;2025-09-10 10:51;FALSE;Kungsbacka Running;10.01;764;00:49:33;170;185;4.5;161;179;04:57;04:18;81;78;1.24;8.1;10.1;266;04:54;--;--;380;--;0.0;--;372;533;--;8,038;-14;No;00:00:02.6;11;--;--;--;00:49:29;00:49:45;6;36
Running;2025-09-06 19:18;FALSE;Kungsbacka Running;10.00;700;00:42:34;174;191;5.0;168;177;04:15;03:34;58;53;1.41;7.3;10.3;245;04:14;--;--;437;--;0.0;--;434;640;--;7,092;-10;No;00:00:01.2;11;--;--;--;00:42:30;00:43:14;4;29
Running;2025-09-03 14:11;FALSE;Kungsbacka Running;10.01;728;00:54:05;147;169;3.4;161;171;05:24;04:46;72;67;1.15;8.5;9.8;277;05:24;--;--;354;--;0.0;--;349;468;--;8,67;-12;No;00:00:01.4;11;--;--;--;00:53:58;00:54:28;5;38
Cycling;2025-09-02 18:31;FALSE;Kungsbacka Cycling;30.03;858;01:01:36;144;162;3.2;--;--;29.3;54.1;217;209;--;--;--;--;--;81;118;221;52% L / 48% R;71.8;217;207;572;4905;--;-12;No;00:00:04.5;7;33;21;41;01:01:34;01:01:36;3;41
Running;2025-08-31 10:27;FALSE;Kungsbacka Running;10.01;742;00:45:41;175;197;5.0;165;187;04:34;03:39;75;71;1.33;7.7;10.2;255;04:32;--;--;403;--;0.0;--;393;562;--;7,52;-15;No;00:00:01.5;11;--;--;--;00:45:37;00:46:13;6;36
Running;2025-08-28 18:29;FALSE;Kungsbacka Running;10.56;752;00:53:36;152;174;3.7;161;174;05:05;04:06;66;79;1.22;8.3;10.1;272;05:05;--;--;357;--;0.0;--;354;570;--;8,598;-11;No;00:02:43.6;11;--;--;--;00:53:28;00:54:54;7;37
Running;2025-08-22 20:41;FALSE;Kungsbacka Running;10.01;688;00:49:46;149;170;3.5;164;176;04:58;04:12;73;66;1.23;8.1;9.9;264;04:56;--;--;371;--;0.0;--;369;485;--;8,136;-10;No;00:00:04.0;11;--;--;--;00:49:42;00:51:32;6;37
Cycling;2025-08-19 21:07;FALSE;Kungsbacka Cycling;30.01;871;01:01:54;154;177;3.8;--;--;29.1;51.9;223;227;--;--;--;--;--;78;114;228;51% L / 49% R;74.4;223;210;597;4713;--;-11;No;00:00:01.2;7;34;22;43;01:01:53;01:01:54;3;42
Running;2025-08-16 17:49;FALSE;Kungsbacka Running;10.01;682;00:46:18;156;190;4.0;166;179;04:37;03:26;67;65;1.30;7.8;10.1;255;04:38;--;--;396;--;0.0;--;389;541;--;7,674;--;No;00:00:02.5;11;--;--;--;00:46:12;00:59:18;5;38
Running;2025-08-12 18:53;FALSE;Kungsbacka Running;10.00;696;00:50:42;149;167;3.5;163;176;05:04;04:15;73;72;1.20;8.2;9.8;266;05:03;--;--;362;--;0.0;--;356;511;--;8,298;-9;No;00:00:01.6;11;--;--;--;00:50:39;00:51:33;5;35
Cycling;2025-08-11 19:05;FALSE;Kungsbacka Cycling;30.01;764;01:08:21;124;145;2.5;--;--;26.3;47.8;202;198;--;--;--;--;--;79;108;173;52% L / 48% R;47.6;169;161;434;5293;--;-10;No;00:00:02.2;7;29;20;44;01:08:09;01:15:05;5;37
Running;2025-08-10 18:21;FALSE;Kungsbacka Running;10.01;691;00:51:44;146;168;3.3;163;176;05:10;04:38;79;72;1.18;8.3;9.8;269;05:09;--;--;358;--;0.0;--;353;499;--;8,418;-3;No;00:00:01.7;11;--;--;--;00:51:41;00:53:27;2;37
Cycling;2025-08-08 18:07;FALSE;Kungsbacka Cycling;30.02;856;01:00:47;152;171;3.3;--;--;29.6;46.1;211;211;--;--;--;--;--;82;112;223;51% L / 49% R;68.5;222;210;621;4852;--;-12;No;00:00:03.6;7;33;24;42;01:00:12;01:01:04;3;34
Running;2025-08-06 08:16;FALSE;Kungsbacka Running;10.01;723;00:47:41;165;191;4.3;166;177;04:46;03:37;104;104;1.27;7.9;10.0;259;04:43;--;--;402;--;0.0;--;392;641;--;7,862;-13;No;00:00:04.0;11;--;--;--;00:47:39;00:47:41;6;35
Running;2025-08-02 16:49;FALSE;Kungsbacka Running;15.00;1,07;01:19:48;149;170;3.6;163;176;05:19;04:47;76;76;1.15;8.4;9.7;272;05:19;--;--;381;--;0.0;--;349;3,394;--;12,948;-14;No;00:00:01.3;16;--;--;--;01:19:42;01:26:33;5;34
